n,sigma_r,sigma_t,p,q,rep_no,dq_mean_rerr,dq_min_rerr,dq_max_rerr,dq_mean_terr,dq_min_terr,dq_max_terr,mat_mean_rerr,mat_min_rerr,mat_max_rerr,mat_mean_terr,mat_min_terr,mat_max_terr,gpm_mat_mean_rerr,gpm_mat_min_rerr,gpm_mat_max_rerr,gpm_mat_mean_terr,gpm_mat_min_terr,gpm_mat_max_terr
100,0,0,0.2,0.5,10,1.3368330952899135,0.17071045911054525,4.7150922917907225,0.8151156076864534,0.20616901927773615,2.7134527683134912,5.364418029785156e-09,0.0,5.960464477539063e-08,3.331858986100058e-14,4.710277376051325e-16,1.218267327945005e-12,2.9802322387695314e-09,0.0,5.960464477539063e-08,1.5460129174222084,0.15583457867403067,3.4635097940549686
100,0,0,0.2,0.5,11,1.3368330952899135,0.17071045911054525,4.7150922917907225,0.8151156076864534,0.20616901927773615,2.7134527683134912,2.384185791015625e-09,0.0,5.960464477539063e-08,1.2031316773092752e-11,2.7204710828023757e-12,9.183923913009782e-10,2.9802322387695314e-09,0.0,5.960464477539063e-08,1.5460129174222084,0.15583457867403067,3.4635097940549686
100,0,0,0.2,0.5,12,1.3368330952899135,0.17071045911054525,4.7150922917907225,0.8151156076864534,0.20616901927773615,2.7134527683134912,2.9802322387695314e-09,0.0,5.960464477539063e-08,2.273528232052596e-15,1.3877787807814457e-16,5.792888521747915e-14,2.9802322387695314e-09,0.0,5.960464477539063e-08,1.5460129174222084,0.15583457867403067,3.4635097940549686
100,0,0,0.2,0.5,13,1.3368330952899135,0.17071045911054525,4.7150922917907225,0.8151156076864534,0.20616901927773615,2.7134527683134912,4.419215656741318e-09,0.0,8.429369702178807e-08,5.330793177764921e-12,1.2420003260055523e-12,3.92852161512383e-10,2.9802322387695314e-09,0.0,5.960464477539063e-08,1.5460129174222084,0.15583457867403067,3.4635097940549686
100,0,0,0.2,0.5,14,1.3368330952899135,0.17071045911054525,4.7150922917907225,0.8151156076864534,0.20616901927773615,2.7134527683134912,3.5762786865234374e-09,0.0,5.960464477539063e-08,1.935776816771114e-14,9.104505742017336e-16,3.965324233204245e-13,2.9802322387695314e-09,0.0,5.960464477539063e-08,1.5460129174222084,0.15583457867403067,3.4635097940549686
100,0,0,0.2,0.5,15,1.3368330952899135,0.17071045911054525,4.7150922917907225,0.8151156076864534,0.20616901927773615,2.7134527683134912,4.172325134277344e-09,0.0,5.960464477539063e-08,1.2359590191655021e-12,4.6541656224025694e-14,8.733688196617016e-11,2.9802322387695314e-09,0.0,5.960464477539063e-08,1.5460129174222084,0.15583457867403067,3.4635097940549686
100,0,0,0.2,0.5,16,1.3368330952899135,0.17071045911054525,4.7150922917907225,0.8151156076864534,0.20616901927773615,2.7134527683134912,4.419215656741318e-09,0.0,8.429369702178807e-08,3.398961772345861e-14,4.218847493575595e-15,2.1978353778147426e-12,2.9802322387695314e-09,0.0,5.960464477539063e-08,1.5460129174222084,0.15583457867403067,3.4635097940549686
100,0,0,0.2,0.5,17,1.3368330952899135,0.17071045911054525,4.7150922917907225,0.8151156076864534,0.20616901927773615,2.7134527683134912,3.5762786865234374e-09,0.0,5.960464477539063e-08,9.013538955196059e-15,8.134798884369879e-16,1.9029174871333736e-13,2.9802322387695314e-09,0.0,5.960464477539063e-08,1.5460129174222084,0.15583457867403067,3.4635097940549686
100,0,0,0.2,0.5,18,1.3368330952899135,0.17071045911054525,4.7150922917907225,0.8151156076864534,0.20616901927773615,2.7134527683134912,2.384185791015625e-09,0.0,5.960464477539063e-08,1.2834054346188712e-13,7.798477121328393e-15,4.924191308919125e-12,2.9802322387695314e-09,0.0,5.960464477539063e-08,1.5460129174222084,0.15583457867403067,3.4635097940549686
100,0,0,0.2,0.5,19,1.3368330952899135,0.17071045911054525,4.7150922917907225,0.8151156076864534,0.20616901927773615,2.7134527683134912,1.1920928955078125e-09,0.0,5.960464477539063e-08,2.0467203748274288e-14,3.881416545151359e-15,1.0455666668055684e-12,2.9802322387695314e-09,0.0,5.960464477539063e-08,1.5460129174222084,0.15583457867403067,3.4635097940549686
100,0,0,0.2,0.55,0,1.1348467205165538,0.0812871208190375,3.4604308595042808,0.7393669382011929,0.1478320068077608,2.132384722239787,5.858199074713105e-09,0.0,8.429369702178807e-08,2.344402577690864e-14,3.0485681130056856e-15,8.150646684060653e-13,2.9802322387695314e-09,0.0,5.960464477539063e-08,1.5460129174222084,0.15583457867403067,3.4635097940549686
100,0,0,0.2,0.55,1,1.1348467205165538,0.0812871208190375,3.4604308595042808,0.7393669382011929,0.1478320068077608,2.132384722239787,5.015262104495225e-09,0.0,8.429369702178807e-08,4.95319577240918e-13,8.065311806766732e-14,3.7479373818868394e-11,2.9802322387695314e-09,0.0,5.960464477539063e-08,1.5460129174222084,0.15583457867403067,3.4635097940549686
100,0,0,0.2,0.55,2,1.1348467205165538,0.0812871208190375,3.4604308595042808,0.7393669382011929,0.1478320068077608,2.132384722239787,1.1920928955078125e-09,0.0,5.960464477539063e-08,8.876392711433184e-13,1.0556516383246889e-13,6.663255317994912e-11,2.9802322387695314e-09,0.0,5.960464477539063e-08,1.5460129174222084,0.15583457867403067,3.4635097940549686
100,0,0,0.2,0.55,3,1.1348467205165538,0.0812871208190375,3.4604308595042808,0.7393669382011929,0.1478320068077608,2.132384722239787,4.76837158203125e-09,0.0,5.960464477539063e-08,1.419886749079275e-14,4.68600926737512e-15,6.005407851508085e-13,2.9802322387695314e-09,0.0,5.960464477539063e-08,1.5460129174222084,0.15583457867403067,3.4635097940549686
